userName,score,at,content
hendra yuki,5,2025-12-10 10:38:20,"Terimakasih,untuk laporan ke pln semakin mudah dan cepat respon"
Sariyono659 Pln,5,2025-12-10 10:38:19,PLN Mobile jos
Daffa Saputra,5,2025-12-10 10:37:21,dengan aplikasi pl mobile sangat membantu dan mudah sekali .
Wepi Nugraha,5,2025-12-10 10:36:51,dengan ada nya aplikasi ini sangat membantu dalam pengecekan dan keluhan listik di rumah
Saesae 20,5,2025-12-10 10:36:09,membantu
Mas Indra,5,2025-12-10 10:35:18,"Aplikasi Josssss sangar..... hehe,,♥️♥️"
Pud Pudin,5,2025-12-10 10:34:42,sangat membantu
Vinsentius Suyoto,5,2025-12-10 10:34:11,semakin mudah
Teguh,5,2025-12-10 10:33:42,"Terimakasih. dengan adanya aplikasi pln mobile. semua lebih mudah, lancar dan baik"
Arsy Syakhira,5,2025-12-10 10:33:08,"semakin terdepan Aplikasi PLN Mobile,sangat mudah & cepet responnya.."
Echa Lule,5,2025-12-10 10:31:47,pln mobile sangat bagus dan membantu masyarakat pedesaan
wulandr,5,2025-12-10 10:30:47,aplikasi mempermudah pelanggan yang bersangkutan dengan perusahaan pln. seperti pengaduan. pembayaran listrik pasca atau prabayar dan pengajuan
Samsulbahri Sumbawa,5,2025-12-10 10:30:08,sangat memuaskan trimaksih pln mobile.
Arsukmawati Sukmawati,5,2025-12-10 10:29:16,pln mobile yg terbaik
KB 70 DY qadrie,5,2025-12-10 10:28:18,banyakin promo nya dong. dari tambah daya kalo bisa pasang baru juga kasih promo wkwkkwkwkwkwkw
Intan Sulistiawati,5,2025-12-10 10:27:54,aplikasi ini sangat bermanfaat
Siswoyo O,5,2025-12-10 10:27:43,PLN memang joss
Santoso Hendro,5,2025-12-10 10:26:55,PLN mobile memuaskan bagus
Maria Ningsih,5,2025-12-10 10:26:27,satu aplikasi yg sangat menguntungkan
Hamdan Att,5,2025-12-10 10:24:25,pln mobile memudahkan kita dalam ber transaksi
Rakhmat MLSB,5,2025-12-10 10:24:17,lumayan bagus
Jo Jo,5,2025-12-10 10:23:52,aplikasi sangat membantu dalam pembayaran
Bazman Newlike,5,2025-12-10 10:23:47,pelayanan cepat dan tanggap
Asep Supriatna,5,2025-12-10 10:23:06,pln mobile sangat membantu
Adi Rahmayadi,5,2025-12-10 10:23:02,Aplikasi ini sangat memudahkan untuk keluhan dan transaksi kelistrikan mantap
aby alvina,5,2025-12-10 10:21:12,"muantaaap, lebih fleksible, praktis.. sat set"
Ajie Selalu,5,2025-12-10 10:20:51,"Terima kasih PLN, atas pelayanan nya...!"
Adhitya Chandra,5,2025-12-10 10:20:09,"Naik MOBIL, ditemani ASYANTI - PLN mobile, semakin DIHATI ❤🇲🇨 Merdeka"
Sugi Yanto,5,2025-12-10 10:19:36,mantap
Marganda Siahaan,5,2025-12-10 10:19:18,puas
Cahyadin Aep,5,2025-12-10 10:19:05,Sangat bagus dan memudahkan dalam semua transaksi
Dani Bandung,5,2025-12-10 10:18:23,pln mobil makin top
Calvine Ardhya M,5,2025-12-10 10:17:03,sangat membantu sekali
Eko Saputra,5,2025-12-10 10:16:38,dengan PLN mobile urusan listrik jadi lebih mudah
Ahmad Vigo,5,2025-12-10 10:15:54,sangat membantu di saat butuh perbaikan.
Dwi susanto,5,2025-12-10 10:15:25,Mantab👍👍👍👍👍
Moh Faruki,5,2025-12-10 10:14:02,mantap sangat membantu untuk transaksi pembelian token
Naura Fakhri,5,2025-12-10 10:14:00,jempol 4 👍👍👍👍
Niken Kurnia,5,2025-12-10 10:13:26,service good
Okan Yazidhuriski,5,2025-12-10 10:12:58,is very god
Elvin Helzinky,5,2025-12-10 10:12:32,"Untuk beli token dan bayar tagihan, saya cuma percaya PLN mobile. Pln mobile the best yang lain ketinggalan🔥"
Wiardika dika,5,2025-12-10 10:11:44,"Pln mobile sangat membantu untuk membaca meteran listriknya menggunakan aplikasi pln mobile. Dan pelaporan pelanggan gangguan dan penanganan semakin cepat , memberi kemudahan . Praktis, simple, hemat waktu karena bisa di akses kapan aja dan dimana aja tinggal dwonload aplikasi PLN MOBILE. 🙏🙏"
redoadesaputra Redoadesaputra,5,2025-12-10 10:11:39,Aplikasi PLN sangat Bagus dan membantu dalam segala hal yang menyangkut terkait pelayanan kelistrikan di PLN. Mudah dalam melakukan transaksi sprti pembelian token listrik dan lain lain.
Sherly Andini,5,2025-12-10 10:10:26,membantu
ans sidiq,5,2025-12-10 10:09:23,Terima kasih mantab Semakin Bagus PLN Mobile👍
Detio Rahadianto,5,2025-12-10 10:08:25,PLN mantap luar biasa.
dhyank fratama,5,2025-12-10 10:05:55,"sangat membantu,,mempermudah semua urusan hanya di genggaman solusinya ,aplikasi pLn mobile 👍"
Abdul Azis,5,2025-12-10 10:04:49,mantap dan cepat
Joni Erawan,5,2025-12-10 10:04:46,puas dan zenang sekali menggunakan fitur fitur yang ada di aplikasi ini
Rafly Danu,5,2025-12-10 10:04:28,aplikasi joss
Iip Aripin,5,2025-12-10 10:03:48,"Aplikasi yang bagus dengan PLN mobile semua jadi mudah,, banyak fitur nya bisa bayar listrik, beli token, tambah daya dan lain nya, trima kasih PLN mobile."
arif acdc,5,2025-12-10 10:03:34,semua semakin mudah
Shamira Stokes,5,2025-12-10 10:01:48,fast respon
bella fg septiana,5,2025-12-10 10:01:35,pln mobil cara mudah untuk pembayaran 👍👍👍👍
bagus joko,5,2025-12-10 10:01:32,Baik dan mudah
Febrian Hadi,5,2025-12-10 10:01:15,pln terbaik
